IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
8.217.121.207	2087	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	11861 kB/s
8.218.142.253	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	11558 kB/s
47.242.17.250	2083	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	11557 kB/s
8.210.156.6	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	11493 kB/s
8.210.3.24	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	11450 kB/s
47.76.37.57	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	11408 kB/s
47.242.79.71	8443	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	11180 kB/s
47.243.169.63	8443	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	11064 kB/s
47.243.27.217	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	10869 kB/s
47.243.90.180	2096	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	10697 kB/s
47.242.155.183	8443	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	10653 kB/s
47.242.234.127	2083	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	10590 kB/s
47.243.139.243	2087	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	10541 kB/s
8.217.127.73	2096	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	10447 kB/s
47.242.232.14	2096	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	10429 kB/s
47.242.232.14	2053	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	10375 kB/s
47.243.139.85	2083	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	10371 kB/s
47.76.77.103	8443	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	10290 kB/s
47.76.159.146	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	10236 kB/s
47.243.183.127	8443	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	10232 kB/s
8.218.143.10	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	10226 kB/s
8.210.203.7	2087	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	10171 kB/s
47.76.49.246	2083	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	10162 kB/s
47.242.54.157	8443	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	10134 kB/s
47.242.17.250	8443	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	9929 kB/s
47.76.204.76	2083	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	9629 kB/s
47.243.203.119	2083	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	9601 kB/s
47.242.59.216	2087	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	9555 kB/s
